"Easy Tabs","Easy Tabs"
"Add New Tab","Добавить новую вкладку"
"New Tab","Новая вкладка"
Alias,Алиас
"Manage Tabs","Управление вкладками"
"This tab no longer exists.","Эта вкладка больше не существует."
"Tab has been saved.","Вкладка была сохранена."
"Something went wrong while saving the tab.","Что-то пошло не так при сохранении вкладки."
"Html content","Содержание HTML"
Unset,Отозвать
"Custom Block","Таможенный блок"
"Product Description","Описание продукта"
"We Also Recommend","Мы также рекомендуем"
"Product's Reviews","Отзывы о товаре"
